id,code_name,first_name,last_name,birthdate,email,phone,college,major,state,zip_code,interests
1,julialouisdreyfus,Julia,Louis-Dreyfus,1/13/1961,julia@usc.edu,310-192-2847,USC,Electrical Engineering,CA,90007,"robotics;embedded systems;music"
2,martinvannostrand,Martin,Van Nostrand,7/24/1949,martin@usc.edu,213-517-9989,USC,Computer Engineering,CA,90007,"robotics;software;basketball"
3,trumanburbank,Truman,Burbank,1/17/1962,truman@gmail.com,310-555-1212,UCLA,Computer Science,CA,90024,"film;software;design"
4,elainebenes,Elaine,Benes,4/29/1964,elaine@yahoo.com,818-224-4325,USC,Electrical Engineering,CA,90089,"music;circuits;robotics"
5,georgecostanza,George,Costanza,9/23/1959,george@gmail.com,917-333-2222,NYU,Business,NY,10003,"sports;business;comedy"
6,jerryseinfeld,Jerry,Seinfeld,4/29/1954,jerry@yahoo.com,212-123-4444,NYU,Film,NY,10003,"comedy;film;writing"
7,cosmokramer,Cosmo,Kramer,8/24/1955,kramer@hotmail.com,212-555-9999,NYU,Design,NY,10012,"design;food;comedy"
8,rachelgreen,Rachel,Green,5/5/1969,rachel@gmail.com,646-123-7788,FIT,Design,NY,10001,"fashion;design;music"
9,rossgeller,Ross,Geller,10/18/1967,ross@nyu.edu,646-999-0101,NYU,Biology,NY,10003,"science;teaching;history"
10,monicageller,Monica,Geller,3/15/1969,monica@gmail.com,917-888-1234,NYU,Hospitality,NY,10003,"food;organization;fitness"
11,chandlerbing,Chandler,Bing,4/8/1968,chandler@yahoo.com,917-777-1212,NYU,Statistics,NY,10003,"comedy;data;business"
12,phoebebuffay,Phoebe,Buffay,2/16/1967,phoebe@hotmail.com,646-555-2323,NYU,Music,NY,10012,"music;writing;animals"
13,tonystark,Tony,Stark,5/29/1970,tony@mit.edu,617-222-3333,MIT,Electrical Engineering,MA,02139,"robotics;hardware;entrepreneurship"
14,brucebanner,Bruce,Banner,12/18/1969,bruce@mit.edu,617-333-4444,MIT,Physics,MA,02139,"science;research;teaching"
15,peterparker,Peter,Parker,8/10/2001,peter@gmail.com,718-111-2222,Columbia,Computer Science,NY,10027,"photography;robotics;science"
16,milesmorales,Miles,Morales,8/3/2002,miles@columbia.edu,718-333-4444,Columbia,Computer Engineering,NY,10027,"music;design;robotics"
17,shuriudaku,Shuri,Udaku,6/1/2000,shuri@mit.edu,617-888-9999,MIT,Computer Engineering,MA,02139,"hardware;robotics;AI"
18,kamalakhan,Kamala,Khan,9/4/2003,kamala@gmail.com,201-555-7777,Rutgers,Creative Writing,NJ,07102,"writing;comics;music"
